Operational date,Time of Accident,KM && M,Position,Rural/Urban,Location,Nature of Accident Position,Nature of Accident,Vehicle Involved,Type of Accident,Causes,Road Feature,Road condition,Intersection Type And Control,Weather Condition,Vehicle Responsible,Help Provided by Ambulance/Patroling Vehicle,Classification of Accident,No of Affected Persons
02.01.2012,6:50 PM,1324.4,RHS,Rural,Kavali, , Bus hit Lorry,Bus,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP29Z               2194,Yes,Non injured ,10
02.01.2012,6:50 PM,1324.4,RHS,Rural,Kavali, , Bus hit Lorry,Bus,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP29Z               2194,Yes,Animals affected,0
03.01.2012,3:40 AM,1331.9,RHS,Rural,K.Tippa , , Bus hit Lorry,Bus,Non injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP16TB           6700,Yes,Fatal,0
03.01.2012,3:40 AM,1331.9,RHS,Rural,K.Tippa , , Bus hit Lorry,Bus,Non injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP16TB           6700,Yes,Grevious,0
03.01.2012,3:40 AM,1331.9,RHS,Rural,K.Tippa , , Bus hit Lorry,Bus,Non injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP16TB           6700,Yes,Minor,0
03.01.2012,3:40 AM,1331.9,RHS,Rural,K.Tippa , , Bus hit Lorry,Bus,Non injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP16TB           6700,Yes,Non injured ,25
03.01.2012,3:40 AM,1331.9,RHS,Rural,K.Tippa , , Bus hit Lorry,Bus,Non injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP16TB           6700,Yes,Animals affected,0
03.01.2012,8:40 AM,1296.4,RHS,Rural,Ulavapadu, , Lorry hit Culvert Wall,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP24Y              8586,Yes,Fatal,0
03.01.2012,8:40 AM,1296.4,RHS,Rural,Ulavapadu, , Lorry hit Culvert Wall,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP24Y              8586,Yes,Grevious,0
03.01.2012,8:40 AM,1296.4,RHS,Rural,Ulavapadu, , Lorry hit Culvert Wall,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP24Y              8586,Yes,Minor,0
03.01.2012,8:40 AM,1296.4,RHS,Rural,Ulavapadu, , Lorry hit Culvert Wall,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP24Y              8586,Yes,Non injured ,2
03.01.2012,8:40 AM,1296.4,RHS,Rural,Ulavapadu, , Lorry hit Culvert Wall,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP24Y              8586,Yes,Animals affected,0
03.01.2012,5:10 PM,1314.6,RHS,Rural,Kavali, , Tata Ace Hit Bike,Tata Ace,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP28TT                3682,Yes,Fatal,1
03.01.2012,5:10 PM,1314.6,RHS,Rural,Kavali, , Tata Ace Hit Bike,Tata Ace,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP28TT                3682,Yes,Grevious,1
03.01.2012,5:10 PM,1314.6,RHS,Rural,Kavali, , Tata Ace Hit Bike,Tata Ace,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP28TT                3682,Yes,Minor,0
03.01.2012,5:10 PM,1314.6,RHS,Rural,Kavali, , Tata Ace Hit Bike,Tata Ace,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP28TT                3682,Yes,Non injured ,4
03.01.2012,5:10 PM,1314.6,RHS,Rural,Kavali, , Tata Ace Hit Bike,Tata Ace,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP28TT                3682,Yes,Animals affected,0
04.01.2012,10:11 PM,1330,LHS,Rural,Kavali, , Lorry Hit Front Lorry,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TT        5588,Yes,Fatal,0
04.01.2012,10:11 PM,1330,LHS,Rural,Kavali, , Lorry Hit Front Lorry,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TT        5588,Yes,Grevious,1
04.01.2012,10:11 PM,1330,LHS,Rural,Kavali, , Lorry Hit Front Lorry,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TT        5588,Yes,Minor,0
04.01.2012,10:11 PM,1330,LHS,Rural,Kavali, , Lorry Hit Front Lorry,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TT        5588,Yes,Non injured ,1
04.01.2012,10:11 PM,1330,LHS,Rural,Kavali, , Lorry Hit Front Lorry,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TT        5588,Yes,Animals affected,0
05.01.2012,4:10 AM,1256,LHS,Rural,Tangutur, , Tata ACE Hit  Median,Tata Ace,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP05TV      1247,Yes,Fatal,0
05.01.2012,4:10 AM,1256,LHS,Rural,Tangutur, , Tata ACE Hit  Median,Tata Ace,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP05TV      1247,Yes,Grevious,1
05.01.2012,4:10 AM,1256,LHS,Rural,Tangutur, , Tata ACE Hit  Median,Tata Ace,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP05TV      1247,Yes,Minor,0
05.01.2012,4:10 AM,1256,LHS,Rural,Tangutur, , Tata ACE Hit  Median,Tata Ace,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP05TV      1247,Yes,Non injured ,2
05.01.2012,4:10 AM,1256,LHS,Rural,Tangutur, , Tata ACE Hit  Median,Tata Ace,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP05TV      1247,Yes,Animals affected,0
05.01.2012,8:21 PM,1239.7,RHS,Rural,Ongole, , Tractor Hit Bus,Tractor,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27AB      7414,Yes,Fatal,0
05.01.2012,8:21 PM,1239.7,RHS,Rural,Ongole, , Tractor Hit Bus,Tractor,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27AB      7414,Yes,Grevious,0
05.01.2012,8:21 PM,1239.7,RHS,Rural,Ongole, , Tractor Hit Bus,Tractor,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27AB      7414,Yes,Minor,0
05.01.2012,8:21 PM,1239.7,RHS,Rural,Ongole, , Tractor Hit Bus,Tractor,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27AB      7414,Yes,Non injured ,12
05.01.2012,8:21 PM,1239.7,RHS,Rural,Ongole, , Tractor Hit Bus,Tractor,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27AB      7414,Yes,Animals affected,0
05.01.2012,11:00 PM,1261.7,LHS,Rural,Tangutur, ,  Car Hit Un know Vehicle,Car,Minor injury,Over speed,Single lane,Straight road,,Fine,AP7X                  0909,Yes,Fatal,0
05.01.2012,11:00 PM,1261.7,LHS,Rural,Tangutur, ,  Car Hit Un know Vehicle,Car,Minor injury,Over speed,Single lane,Straight road,,Fine,AP7X                  0909,Yes,Grevious,0
05.01.2012,11:00 PM,1261.7,LHS,Rural,Tangutur, ,  Car Hit Un know Vehicle,Car,Minor injury,Over speed,Single lane,Straight road,,Fine,AP7X                  0909,Yes,Minor,1
05.01.2012,11:00 PM,1261.7,LHS,Rural,Tangutur, ,  Car Hit Un know Vehicle,Car,Minor injury,Over speed,Single lane,Straight road,,Fine,AP7X                  0909,Yes,Non injured ,2
05.01.2012,11:00 PM,1261.7,LHS,Rural,Tangutur, ,  Car Hit Un know Vehicle,Car,Minor injury,Over speed,Single lane,Straight road,,Fine,AP7X                  0909,Yes,Animals affected,0
07.01.2012,12:08 AM,1243.3,RHS,Rural,Ongole, , Lorry Hit Lorry,Lorry,Fatal,Druken,Four lanes or more with central divider,Straight road,T-Junction,Fine,AP29TA            9199,Yes,Fatal,1
07.01.2012,12:08 AM,1243.3,RHS,Rural,Ongole, , Lorry Hit Lorry,Lorry,Fatal,Druken,Four lanes or more with central divider,Straight road,T-Junction,Fine,AP29TA            9199,Yes,Grevious,0
07.01.2012,12:08 AM,1243.3,RHS,Rural,Ongole, , Lorry Hit Lorry,Lorry,Fatal,Druken,Four lanes or more with central divider,Straight road,T-Junction,Fine,AP29TA            9199,Yes,Minor,0
07.01.2012,12:08 AM,1243.3,RHS,Rural,Ongole, , Lorry Hit Lorry,Lorry,Fatal,Druken,Four lanes or more with central divider,Straight road,T-Junction,Fine,AP29TA            9199,Yes,Non injured ,1
07.01.2012,12:08 AM,1243.3,RHS,Rural,Ongole, , Lorry Hit Lorry,Lorry,Fatal,Druken,Four lanes or more with central divider,Straight road,T-Junction,Fine,AP29TA            9199,Yes,Animals affected,0
07.01.2012,8:25 AM,1236.3,RHS,Rural,Maddipadu, , Lorry Hit Tractor,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TV              3659,Yes,Fatal,0
07.01.2012,8:25 AM,1236.3,RHS,Rural,Maddipadu, , Lorry Hit Tractor,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TV              3659,Yes,Grevious,0
07.01.2012,8:25 AM,1236.3,RHS,Rural,Maddipadu, , Lorry Hit Tractor,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TV              3659,Yes,Minor,0
07.01.2012,8:25 AM,1236.3,RHS,Rural,Maddipadu, , Lorry Hit Tractor,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TV              3659,Yes,Non injured ,4
07.01.2012,8:25 AM,1236.3,RHS,Rural,Maddipadu, , Lorry Hit Tractor,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TV              3659,Yes,Animals affected,0
07.01.2012,9:49 AM,1266.1,RHS,Rural,Tangutur, , Bike Hit Lorry,Bike,Fatal,Druken,Three lanes or more without central divider(median),Slight curve,Y-Junction,Fine,AP27M        3236,Yes,Fatal,1
07.01.2012,9:49 AM,1266.1,RHS,Rural,Tangutur, , Bike Hit Lorry,Bike,Fatal,Druken,Three lanes or more without central divider(median),Slight curve,Y-Junction,Fine,AP27M        3236,Yes,Grevious,1
07.01.2012,9:49 AM,1266.1,RHS,Rural,Tangutur, , Bike Hit Lorry,Bike,Fatal,Druken,Three lanes or more without central divider(median),Slight curve,Y-Junction,Fine,AP27M        3236,Yes,Minor,0
07.01.2012,9:49 AM,1266.1,RHS,Rural,Tangutur, , Bike Hit Lorry,Bike,Fatal,Druken,Three lanes or more without central divider(median),Slight curve,Y-Junction,Fine,AP27M        3236,Yes,Non injured ,2
07.01.2012,9:49 AM,1266.1,RHS,Rural,Tangutur, , Bike Hit Lorry,Bike,Fatal,Druken,Three lanes or more without central divider(median),Slight curve,Y-Junction,Fine,AP27M        3236,Yes,Animals affected,0
07.01.2012,3:30 PM,1199.4,RHS,Rural,Martur, , Bike Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27AK       T/R,Yes,Fatal,0
07.01.2012,3:30 PM,1199.4,RHS,Rural,Martur, , Bike Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27AK       T/R,Yes,Grevious,0
07.01.2012,3:30 PM,1199.4,RHS,Rural,Martur, , Bike Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27AK       T/R,Yes,Minor,2
07.01.2012,3:30 PM,1199.4,RHS,Rural,Martur, , Bike Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27AK       T/R,Yes,Non injured ,0
07.01.2012,3:30 PM,1199.4,RHS,Rural,Martur, , Bike Skidding,Bike,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27AK       T/R,Yes,Animals affected,0
08.01.2012,10:37 PM,1317.6,RHS,Rural,Kavali, , Lorry Hit Lorry,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07TT       1789,Yes,Fatal,1
08.01.2012,10:37 PM,1317.6,RHS,Rural,Kavali, , Lorry Hit Lorry,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07TT       1789,Yes,Grevious,0
08.01.2012,10:37 PM,1317.6,RHS,Rural,Kavali, , Lorry Hit Lorry,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07TT       1789,Yes,Minor,0
08.01.2012,10:37 PM,1317.6,RHS,Rural,Kavali, , Lorry Hit Lorry,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07TT       1789,Yes,Non injured ,3
08.01.2012,10:37 PM,1317.6,RHS,Rural,Kavali, , Lorry Hit Lorry,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07TT       1789,Yes,Animals affected,0
09.01.2012,11:26 AM,1192.4,LHS,Rural,Martur, ,Auto  Hit Lorry,Auto,Minor injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP27X      0812,Yes,Fatal,0
09.01.2012,11:26 AM,1192.4,LHS,Rural,Martur, ,Auto  Hit Lorry,Auto,Minor injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP27X      0812,Yes,Grevious,0
09.01.2012,11:26 AM,1192.4,LHS,Rural,Martur, ,Auto  Hit Lorry,Auto,Minor injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP27X      0812,Yes,Minor,1
09.01.2012,11:26 AM,1192.4,LHS,Rural,Martur, ,Auto  Hit Lorry,Auto,Minor injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP27X      0812,Yes,Non injured ,4
09.01.2012,11:26 AM,1192.4,LHS,Rural,Martur, ,Auto  Hit Lorry,Auto,Minor injury,Vehicle out of control,Four lanes or more with central divider,Straight road,,Fine,AP27X      0812,Yes,Animals affected,0
10.01.2012,9:23 AM,1264.1,RHS,Rural,Tangutur, ,Bike skidding,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP27AD        4352,Yes,Fatal,0
10.01.2012,9:23 AM,1264.1,RHS,Rural,Tangutur, ,Bike skidding,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP27AD        4352,Yes,Grevious,1
10.01.2012,9:23 AM,1264.1,RHS,Rural,Tangutur, ,Bike skidding,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP27AD        4352,Yes,Minor,0
10.01.2012,9:23 AM,1264.1,RHS,Rural,Tangutur, ,Bike skidding,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP27AD        4352,Yes,Non injured ,1
10.01.2012,9:23 AM,1264.1,RHS,Rural,Tangutur, ,Bike skidding,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP27AD        4352,Yes,Animals affected,0
10.01.2012,9:40 AM,1228,RHS,Rural,Maddipadu, , Lorry up side,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP24W        8169,Yes,Fatal,0
10.01.2012,9:40 AM,1228,RHS,Rural,Maddipadu, , Lorry up side,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP24W        8169,Yes,Grevious,0
10.01.2012,9:40 AM,1228,RHS,Rural,Maddipadu, , Lorry up side,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP24W        8169,Yes,Minor,0
10.01.2012,9:40 AM,1228,RHS,Rural,Maddipadu, , Lorry up side,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP24W        8169,Yes,Non injured ,2
10.01.2012,9:40 AM,1228,RHS,Rural,Maddipadu, , Lorry up side,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP24W        8169,Yes,Animals affected,0
10.01.2012,5:50 PM,1218,LHS,Rural,Medarametla, ,Lorry Hit Lorry,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,Four arm junction,Fine,AP07TA          8577,Yes,Fatal,0
10.01.2012,5:50 PM,1218,LHS,Rural,Medarametla, ,Lorry Hit Lorry,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,Four arm junction,Fine,AP07TA          8577,Yes,Grevious,0
10.01.2012,5:50 PM,1218,LHS,Rural,Medarametla, ,Lorry Hit Lorry,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,Four arm junction,Fine,AP07TA          8577,Yes,Minor,1
10.01.2012,5:50 PM,1218,LHS,Rural,Medarametla, ,Lorry Hit Lorry,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,Four arm junction,Fine,AP07TA          8577,Yes,Non injured ,3
10.01.2012,5:50 PM,1218,LHS,Rural,Medarametla, ,Lorry Hit Lorry,Lorry,Non injury,Over speed,Four lanes or more with central divider,Straight road,Four arm junction,Fine,AP07TA          8577,Yes,Animals affected,0
11.01.2012,9:30 AM,1276.9,LHS,Rural,Singarayakonda, ,Tractor Hit  Lorry,Tractor,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27F      2562 ,Yes,Fatal,0
11.01.2012,9:30 AM,1276.9,LHS,Rural,Singarayakonda, ,Tractor Hit  Lorry,Tractor,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27F      2562 ,Yes,Grevious,0
11.01.2012,9:30 AM,1276.9,LHS,Rural,Singarayakonda, ,Tractor Hit  Lorry,Tractor,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27F      2562 ,Yes,Minor,0
11.01.2012,9:30 AM,1276.9,LHS,Rural,Singarayakonda, ,Tractor Hit  Lorry,Tractor,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27F      2562 ,Yes,Non injured ,3
11.01.2012,9:30 AM,1276.9,LHS,Rural,Singarayakonda, ,Tractor Hit  Lorry,Tractor,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27F      2562 ,Yes,Animals affected,0
11.01.2012,10:10 AM,1271.7,LHS,Rural,Jarugumalli, , Bike Hit Tractor,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP07        8116,Yes,Fatal,0
11.01.2012,10:10 AM,1271.7,LHS,Rural,Jarugumalli, , Bike Hit Tractor,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP07        8116,Yes,Grevious,1
11.01.2012,10:10 AM,1271.7,LHS,Rural,Jarugumalli, , Bike Hit Tractor,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP07        8116,Yes,Minor,0
11.01.2012,10:10 AM,1271.7,LHS,Rural,Jarugumalli, , Bike Hit Tractor,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP07        8116,Yes,Non injured ,0
11.01.2012,10:10 AM,1271.7,LHS,Rural,Jarugumalli, , Bike Hit Tractor,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP07        8116,Yes,Animals affected,0
11.01.2012,10:30 AM,1267.7,LHS,Rural,Tangutur, ,car Hit  TATA Ace magic,car,Grievious injury,Over speed,Four lanes or more with central divider,Slight curve,T-Junction,Fine,AP27AC 8226,Yes,Fatal,0
11.01.2012,10:30 AM,1267.7,LHS,Rural,Tangutur, ,car Hit  TATA Ace magic,car,Grievious injury,Over speed,Four lanes or more with central divider,Slight curve,T-Junction,Fine,AP27AC 8226,Yes,Grevious,1
11.01.2012,10:30 AM,1267.7,LHS,Rural,Tangutur, ,car Hit  TATA Ace magic,car,Grievious injury,Over speed,Four lanes or more with central divider,Slight curve,T-Junction,Fine,AP27AC 8226,Yes,Minor,3
11.01.2012,10:30 AM,1267.7,LHS,Rural,Tangutur, ,car Hit  TATA Ace magic,car,Grievious injury,Over speed,Four lanes or more with central divider,Slight curve,T-Junction,Fine,AP27AC 8226,Yes,Non injured ,2
11.01.2012,10:30 AM,1267.7,LHS,Rural,Tangutur, ,car Hit  TATA Ace magic,car,Grievious injury,Over speed,Four lanes or more with central divider,Slight curve,T-Junction,Fine,AP27AC 8226,Yes,Animals affected,0
11.01.2011,5:00 PM,1247.4,RHS,Rural,Ongole, , L.C.V Lorry Hit Tractor,Van,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP7X            9123,Yes,Fatal,0
11.01.2011,5:00 PM,1247.4,RHS,Rural,Ongole, , L.C.V Lorry Hit Tractor,Van,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP7X            9123,Yes,Grevious,2
11.01.2011,5:00 PM,1247.4,RHS,Rural,Ongole, , L.C.V Lorry Hit Tractor,Van,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP7X            9123,Yes,Minor,0
11.01.2011,5:00 PM,1247.4,RHS,Rural,Ongole, , L.C.V Lorry Hit Tractor,Van,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP7X            9123,Yes,Non injured ,0
11.01.2011,5:00 PM,1247.4,RHS,Rural,Ongole, , L.C.V Lorry Hit Tractor,Van,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP7X            9123,Yes,Animals affected,0
13.01.2012,7:43 PM,1304.9,LHS,Rural,Gudluru, , Car Hit Tractor,Car,Fatal,Over speed,Three lanes or more without central divider(median),Straight road,,Fine,AP21PV    6604,Yes,Fatal,1
13.01.2012,7:43 PM,1304.9,LHS,Rural,Gudluru, , Car Hit Tractor,Car,Fatal,Over speed,Three lanes or more without central divider(median),Straight road,,Fine,AP21PV    6604,Yes,Grevious,4
13.01.2012,7:43 PM,1304.9,LHS,Rural,Gudluru, , Car Hit Tractor,Car,Fatal,Over speed,Three lanes or more without central divider(median),Straight road,,Fine,AP21PV    6604,Yes,Minor,0
13.01.2012,7:43 PM,1304.9,LHS,Rural,Gudluru, , Car Hit Tractor,Car,Fatal,Over speed,Three lanes or more without central divider(median),Straight road,,Fine,AP21PV    6604,Yes,Non injured ,0
13.01.2012,7:43 PM,1304.9,LHS,Rural,Gudluru, , Car Hit Tractor,Car,Fatal,Over speed,Three lanes or more without central divider(median),Straight road,,Fine,AP21PV    6604,Yes,Animals affected,0
14.01.2012,8:20 AM,1246,LHS,Urban,Ongole, , Lorry Hit Bike,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TB    7345,Yes,Fatal,1
14.01.2012,8:20 AM,1246,LHS,Urban,Ongole, , Lorry Hit Bike,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TB    7345,Yes,Grevious,0
14.01.2012,8:20 AM,1246,LHS,Urban,Ongole, , Lorry Hit Bike,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TB    7345,Yes,Minor,0
